B2,Combined_Text,Framing,Priming,Repetition,Narrative/Story,Reciprocity,Commitment and Consistency,Social Proof,Scarcity,Authority,Liking,Argument Type,Hedging and Politeness,Pronoun Use,Active Tense,Concreteness,Linguistic Fluency,Linguistic Mirroring,Credibility Markers,Certainty Markers,Rhetorical Questions
20180826-023807_40_live,"Persuader: Did you Know that Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.
Persuadee: I think I've heard of them, but aren't they religiously affiliated?
Persuadee: I'm all for improving conditions for children in developing countries, but I don't really want money paying for evangelizing.
Persuader: Yes they are affiliated with religion but all proceeds are put towards saving the children they do profit are use any funds for personal gain or spread of religion.
Persuadee: How transparent are they about uses of their funds?
Persuadee: Are they well rated by the watchdog groups that keep an eye on non-profits?
Persuader: Save the Children is.
Persuader: Mention the organization's credentials and international impact
Persuadee: It's great to hear there are people out there doing such important work.
Persuadee: Have you ever donated to them?
Persuader: Yes I have , how much do you spend on unnecessary stuff like a bag of snack or candy.
Persuader: You Know small donations can help a lot of children and their families
Persuadee: Really?
Persuadee: I suppose even with the economy being as hard as it is, exchange rates are still good enough to make a real impact.
Persuader: Yes any donations made to helpless children make a real impact on their life.
Persuader: Not many kids get a real shot and they all deserve one If I had a chance to change a childs life foe the better and didn't I would not be able to live with myself.
Persuadee: That's a good point, I think a lot of the times the little things we can do that have really positive impacts kind of get lost in the shuffle.
Persuadee: If I can ask a personal question, how did you make room in your finances to donate?
Persuader: I did't I just gave what I thougt cas right and took the blow .
Persuader: I thought about how these kids do without so much and realized I could do without once in order to help someone in need
Persuadee: So how did you decide what was right for you?
Persuader: I gave what was given to me .
Persuader: Over the next few chats I'm going to tell you the story of Bruce a child that like alot of these chidren need help but threw Save The Chidren found it.
Persuader: At the end Of our next few chats I'm going to ask you to  donate what you earn from this survey .
Persuader: I want you to think about what it means to save a child thats in trouble and how by saving that child you find new hope in your own life.
Persuadee: I'm certainly willing to listen.
Persuadee: Tell me about Bruce.
Persuader: Bruce was born to a single mother who was only 14 at the time he came into this world , the girls mother and father were ashamed of her pregnancy and kicked out of the house.
Persuader: The founder of save the children heard about the family and learned of Bruces story .
Persuader: He came to meet Bruce .
Persuadee: That poor girl, being rejected by her own family like that.
Persuadee: I'm glad that Bruce was taken in, though.
Persuadee: How did the visit go?
Persuader: Bruce went own to join the save the children foundation after he completed college and is helping save children today.
Persuader: The owner got involved in Bruces life and sav the children went to work and provide food and cloths and school needs for Bruce .
Persuadee: That's awesome!
Persuadee: He even made it through college.
Persuadee: I can see how he'd be really devoted to the organization, given the impact they had on his life.
Persuader: Yes he is a force for good and was saved out of tragedy.
Persuadee: If only all kids were so lucky.
Persuadee: But I guess it takes a lot of work to try to help the ones who need it most
Persuader: Now I would Like to ask you to donate what you about to receive and and give to other in need.
Persuader: Yiur will go to help other just like that right now are looking or in room by themselves hoping for a miracle .
Persuader: Will you be that miracle and help a child like Bruce today?
Persuadee: I will.
Persuadee: Be the change you want to see in the world, right?
Persuader: Yes you will .
Persuader: So how much of your earnings will you give, for a child that needs to be saved today?.
Persuadee: 5 dollars buys a latte, and I think it should be easy for me to give up a coffee a month.
Persuadee: I bet they have ways to set up recurring donations pretty easily.
Persuader: Your donation will be directly deducted from your task payment.
Persuader: You can choose any amount from $0 to all your payment.
Persuader: The research team will collect all donations and send it to Save the Children",Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Emotional,Yes,Yes,No,Concrete,Yes,Yes,Yes,Yes,Yes
20180826-033211_245_live,"Persuader: Hi how are you this day ?
Persuadee: Hey, I'm doing great, how are you?
Persuader: I am very good.
Persuader: Glad to be doing this survey because it is for a good cause (Save the children) Do you agree ?
Persuadee: Oh absolutely!
Persuadee: I think it's very important to donate to charities.
Persuader: Yeah I stronlgly believe we should all pitch in and help.
Persuader: I am 100% sure I am going to donate 80%-100% of my earnings for this survey to (Save the children) It will make me feel good to help Little helpless children.
Persuader: What do you think you will be donating ?
Persuadee: I don't have the money right now to donate.
Persuadee: I will defiantly be donating at the first of September though.
Persuadee: I will try to donate at least five dollars.
Persuader: We all need money, but this is a special cause and the money is not too much.
Persuader: These surveys are a good way for us to get involved and help those in need........Dont you agree ?
Persuadee: Oh yeah defiantly.
Persuadee: Out of the earnings I earn from this survey I would probably donate at least half.
Persuadee: It's only fair.
Persuader: Wow that is so good to hear it reallly shows that most people are willing to help those who are less fortunate than ourselves.
Persuadee: Yeah it's very important to help someone that is less fortunate than yourself.
Persuadee: Especially if they are children.
Persuader: Did they tell you ""How much do you like to donate to the charity now?
Persuader: Your donation will be directly deducted from your task payment.
Persuader: You can choose any amount from $0 to all your payment.""
Persuadee: At this time I can't donate any amount.
Persuadee: However I will donate later.
Persuader: I thought you said you would donate a part of your earnings ?
Persuader: How about I match you on what you decide you can afford to donate.
Persuader: If you donate 30% I will donate 50% if you donate higher I will increase mine accordingly.
Persuader: It is a one time thing.
Persuader: Those kids suffer quite a lot and dont really have anyone to help them.
Persuadee: Sure I will donate 30%.
Persuader: Awesome.
Persuader: I know I have never met you ,but I feel so good to be working with you to help someone even if it is such a small amount it makes me feel glad.
Persuadee: Same to you!
Persuadee: Most people wouldn't give anything and it makes me really happy to meet someone that would help with whatever they can.
Persuader: Yeah I agree 100% with you.
Persuader: I have been to other countries that are very poor and it is Amazing how much a little donation will make a BIG differance in these childrens lives.
Persuadee: I guess in America you don't really understand what other countries go through.
Persuadee: That's awesome you have been to other countries. I don't mind helping at all.
Persuader: I live in Florida.
Persuader: What part of USA are you from ?
Persuadee: North Carolina, I've been to Florida once, it's nice.
Persuader: North Carolina is nice I have been there once.
Persuader: Well nice talking to you so I am going to Donate 70% and you will do the 30% .
Persuader: Good Deal and hope this will help others.
Persuader: Take care have a great day.",Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Emotional,Yes,Yes,Yes,Concrete,Yes,Yes,Yes,Yes,Yes
20180826-040651_411_live,"Persuader: Hello, how are you today?
Persuadee: hello i am fine thank you
Persuader: Have you heard of our charity Save the Children?
Persuadee: yes I've donated $ 150 to this year for this organization
Persuader: Awesome, you know all about it then!
Persuadee: I know more or less how it works and my goals are, but what do you know
Persuader: I know it is an international non-governmental organization that promotes children's rights while also providing relief and support for children in developing countries.
Persuader: It is awesome there are people that dedicate their lives to help ensure children have the rights to health, education, safety, and much more.
Persuadee: very fair, it is good that all contribute little to the help of children all over the world
Persuader: This is very true.
Persuader: So how do you feel about donating today?
Persuadee: I feel the happiest man in the world when I donate some help if she is, I feel very good when my help is happening to people
Persuader: This is great to hear, not everybody feels that way!
Persuadee: I do not only help the children but everybody who needs some help if this financial or moral help
Persuader: It sounds like we need more people like you in the world.
Persuadee: true, we live a life and it would be more fun to live beautifully and happily but not only for ourselves but to be happy for all the people who surround us somewhat
Persuader: This is true.
Persuader: Everybody deserves the option to be happy.
Persuader: We all should have equal opportunity to be happy and succeed in life.
Persuadee: if I define what makes me happy in life is to look and my beloved happy man
Persuader: That is an awesome definition.
Persuader: So seeing as how you mentioned you would like to donate today, what is a specific amount you would be willing to donate?
Persuadee: I wanted to buy clothes for myself today, but I will give them some kind of charity online search, full $ 100
Persuader: That is great to hear, however.
Persuader: Your donation will be directly deducted from your task payment.
Persuader: You can choose any amount from 0$ to all of your payment.
Persuadee: work here is the other thing, my donation comes from my other payment
Persuader: That's awesome, so you'd like to donate all of your task payment?",Yes,No,No,No,No,Yes,Yes,No,No,Yes,Emotional,Yes,Yes,Yes,Concrete,Yes,Yes,No,Yes,No
20180826-043247_456_live,"Persuader: Hey!
Persuader: How are you doin today?
Persuadee: Hey!
Persuadee: I'm doing well!
Persuadee: How are you?
Persuader: I\'m alright, just reading up on this organization called ""Save the Children"".. have you heard about it?
Persuadee: I haven't.
Persuadee: It sounds familiar though.
Persuadee: Could you tell me about it?
Persuader: Yeah, no problem!
Persuader: It's a non-governmental organization that helps with children's rights.
Persuader: They claim to provide relief and support to kids in developing countries.
Persuadee: That's amazing.
Persuadee: Do they provide legal help or support to live?
Persuader: It looks like a bit of both!
Persuader: But they're down on donations.
Persuader: Curious, how willing would you be to donate to the cause?
Persuader: Say... if it were deducted from your task payment?
Persuadee: I'm really passionate about children's rights no matter what background they are from.
Persuadee: When it isn't available, I think it's important to provide for them if we can.
Persuadee: So, I'd be willing to donate, if I could confirm the charity was a legitimate one.
Persuader: Absolutely!
Persuader: Save the Children is quite credible, and has tons of information out there about their organization.
Persuader: They have corporate partnerships, individuals, and foundations!
Persuadee: Oh, wow!
Persuadee: Okay, I would definitely donate to them!
Persuader: That's so awesome to hear!
Persuader: How much were you thinkin?
Persuader: You can choose any amount from $0 to all of your payment.
Persuadee: I'm not sure how much I would be getting from the task, but I will say $1!
Persuader: That's so awesome of you!
Persuader: The research team will be able to collect all donations and send it on over to Save the Children.
Persuader: It's a very valuable cause, and afterall, they have won up to 7 awards.
Persuadee: Oh, that is nice!
Persuadee: Especially now with so many children separated from their families because of the immigration disputes, I hope they can help children here even in America as well!
Persuader: They absolutely have United States based programs!
Persuader: From Avocacy, to Education, and even emergency services.
Persuader: I worry about those kids too, so I understand.
Persuader: It's a shame what's going on, I hope the problem gets rectified soon.
Persuadee: Me too.
Persuadee: I think about them so often.
Persuadee: I have a sister who is under eighteen.
Persuadee: I try to teach her about her rights because I think it is so important to know them.
Persuadee: If someone believes they can take advantage of your ignorance, a lot of times, they will.
Persuadee: It's a shame, but I want her to know her rights so that she is never taken advantage of by someone in a higher position of power.
Persuadee: Wherever and whoever that may be.
Persuader: I want to teach my daughter the same someday!
Persuader: It's even harder seeing the things going on here on the news and in the media when you have a child that's so close to you :(
Persuader: Yes.
Persuadee: It makes me scared for her and my nephews as well.
Persuadee: I hope we can fix the bad in the world by the time they grow older.
Persuadee: have noticed so many kids that are kinder and more aware than when I was younger.
Persuadee: I think it's because there are more people who have experienced injustice or have been hurt by inequality.
Persuadee: They want to make sure it doesn't happen to the ones that come after us.
Persuader: I agree!
Persuader: I think that the internet helps, too.
Persuader: Helps to bring awareness.
Persuader: It was very kind of you, today, to donate your earnings from this chat for the kids.
Persuader: I understand the grind of trying to make a buck, and I just wanted to leave you off with one thing: you heard about saving children and you committed.
Persuader: That's so big of you, and not many people care these days.
Persuader: I admire you, and I hope you have a wonderful day. :)
Persuadee: Thank you.
Persuadee: It was nice speaking with you! :)
Persuader: You as well!
Persuader: xx",Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Emotional,Yes,Yes,Yes,Concrete,Yes,Yes,Yes,Yes,No
20180826-044626_167_live,"Persuader: Morning!
Persuader: Have you considered donating to Save the Children?
Persuader: It's a great organization and doesn't cost much to help a child in need.
Persuadee: I have not.
Persuadee: I am not sure I know what Save the Children is.
Persuader: It's an  international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.
Persuader: It has done wonderful things and is a big part of many organizations employee giving drives.
Persuadee: Oh cool.
Persuadee: Do they help people here in the USA?
Persuader: Right now they're concentrating at an international level.
Persuader: Did you know that in the first two months of 2018, over 1,000 children were reportedly killed or injured in Syria alone?
Persuader: They also appeal to stop hunger issues abroad.
Persuadee: Yes, I know about Syria.
Persuadee: I know hunger is a big issue for a lot of people in other countries.
Persuadee: Do they provide food for these people?
Persuader: They provide whatever is needed.
Persuader: AND, in relation to the US, they are currently working on the Hurricane Lane situation in Hawaii.
Persuader: They are also big on sending girls to schools in other countries.
Persuadee: Sounds like they do a lot of different things for people.
Persuader: Yes. it's a great organization.
Persuader: You can find out more if you'd like.
Persuader: I can give you their website.
Persuader: How much would you be willing to donate?
Persuadee: I am not sure yet. What is their website?
Persuader: URL  Any amount of would be appreciated.
Persuader: They can do a lot of things with your donation.
Persuadee: I will look at the website.
Persuadee: Is the donation tax deductible?
Persuader: Depending on tax laws in your state, it is. You may need to check with your tax advisor.
Persuader: How about donating to sponsor a child in the US?
Persuadee: Do I get anything for donating?
Persuader: Other than the satisfaction of helping a child in need?!
Persuader: You will receive a photo with the child you sponsor and can correspond with them if you choose.
Persuader: How much would you like to donate?
Persuadee: The photo would be nice, it would let me know and connect with someone I am helping.
Persuadee: How do I know my money goes to the cause and not just to the pockets of the people that run it.
Persuader: This is a great organization with a very stellar reputation.
Persuader: There are FAQs on the website that can address all of those concerns, which I certainly can understand.
Persuader: How about a donation of $25 to start?
Persuadee: How long has Save the Children been helping people all over the world?
Persuader: It varies for different regions of the world.
Persuader: Would you be willing to start your donation today, while we're talking?
Persuadee: yes I can donate.
Persuadee: I don't have much. How about .25?
Persuader: If you think $.25 will get a child fed, we can do that.
Persuader: However, I think $25 would be more beneficial and it would go to so many good causes.",Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Emotional,Yes,Yes,Yes,Concrete,Yes,No,Yes,Yes,Yes
20180826-045748_926_live,"Persuader: hello haw are you today
Persuadee: doing good you?
Persuader: do you heart for the organization save the children
Persuadee: yes I do,do you as well?
Persuader: is an organization that helps children
Persuadee: Yes, because it is an international non-governmental organisation that promotes children's rights, provides relief and helps support children in developing countries.
Persuader: yes i have donate 100$ for this organisation
Persuadee: amassing!
Persuader: I have donated my fair chair but money is still money I would estimate I probably  have gave  175$ in short burst
Persuader: you are very good person
Persuadee: thank you,I just want to help this world and especially the children within it and save the children is doing that job
Persuader: yes i like to.
Persuader: help the children. in the word
Persuadee: If everyone puts in there fair share then save the children would be even bigger, could you imagine how much children could be saved or help,or both
Persuader: yes is true im so sad for helping this children
Persuadee: i think everyone should chip in proximity 5$ that is  in total.
Persuadee: 35000000000$
Persuader: very good choice the best
Persuadee: so do you agree?
Persuadee: everyone should share 5$ or more?
Persuader: yes it is a very good idea
Persuadee: then we have came to an agreement that went vary smoothly it says up top ""We encourage you to keep the conversation until a donation agreement is explicitly made so i think weve done .
Persuader: yes very good idea
Persuadee: 5$ sounds good ok",Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Emotional,Yes,Yes,No,Concrete,Yes,No,No,Yes,Yes
20180826-052222_969_live,"Persuader: hello
Persuadee: Hi, how are you?
Persuader: I'm doing great, I hope all is well.
Persuadee: Thanks.
Persuadee: We're here to talk about a children's charity, is that right?
Persuader: T hat is correct, I hope you are interested in donating today.
Persuader: How much do you like to donate to the charity now?
Persuader: Your donation will be directly deducted from your task payment.
Persuader: You can choose any amount from $0 to all your payment.
Persuadee: What is the charity?
Persuader: Save the Children, it is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.
Persuadee: I've heard of them.
Persuadee: It's a good charity.
Persuader: It is I have personally been involved with this charity after finding out that millions of Syrian children have grown up facing the daily threat of violence.
Persuader: In the first two months of 2018 alone 1,000 children were reportedly killed or injured in intensifying violence
Persuadee: The violence in Syria is one of the saddest things happening in the world today, as far as I know.
Persuadee: I heard a really heartbreaking interview with a Syrian child who lost his dad on NPR the other day.
Persuader: My husband had family in syria when the attacks where happening and I can tell you that not being able to do anything was the worst feeling in the world, but knowing that charities like save the children exist was a relief
Persuadee: I'm really sorry.
Persuadee: Does Save the Children help find a place for refugees?
Persuader: yes Save the Children does in fact help find places for refugees, if you would like more info you can visit  URL s/what-we-do/emergency-response/refugee-children-crisis
Persuadee: Thanks.
Persuadee: I don't have a lot of money, but I'll ask my family and friends to donate to them for my birthday.
Persuadee: For today I would like to donate $.30
Persuader: Thank you for your donation.
Persuader: Have a blessed day
Persuadee: Thanks, you too.
Persuadee: I hope you're able to raise a lot of donations.
Persuader: As long as there are good people like you in the world I am sure we will be able to raise enough
Persuadee: Is there anything else you can think of that we could do?
Persuader: besides donate and visit  URL for more information
Persuadee: I will.
Persuadee: Good luck to you",Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Emotional,Yes,Yes,Yes,Concrete,Yes,No,Yes,Yes,No
20180826-053811_708_live,"Persuader: A donation for a child is very neccesary
Persuadee: I couldn't agree more.
Persuader: Have you ever donate for children in your area?
Persuadee: I have, I have donated christmas gifts to local Toys for Tots every year.
Persuadee: And a few other local charities specifically for children.
Persuadee: Have you ever donated to children?
Persuader: Yes, I have.
Persuader: I remember a kid that lives on the streets.
Persuader: He has no parents ,no one that cares about him
Persuadee: Thats very sweet of you.
Persuadee: What did you get him?
Persuader: I get in touch with the Save the Children program.
Persuader: They get him a house and warm food
Persuadee: Thats amazing.
Persuadee: I am glad you were there to help him.
Persuadee: I would do the same
Persuader: It is a shame many children die of hunger everyday while some people spend money on stuff they do not need
Persuadee: Its extremely sad.
Persuadee: If I had the money that some people have, I would form my own foundation specifically for under privileged children and those in need.
Persuader: I think you can still make a difference.
Persuader: How much money do you waste on candy or cookies every year?
Persuadee: I don't waste much money on that type of stuff.
Persuadee: My money is more wasted on drive thru getting coffee.
Persuadee: I can easily cut down on that to donate more to charity tho.
Persuadee: Great idea!!
Persuader: Thank for helping to the cause.
Persuader: If we all donate a little to Save the children we will have less hunger in the world.
Persuader: Everyone should be responsible of this issue
Persuadee: I agree.
Persuadee: Children are the future, and not only that, but they didn't ask to be born, so why should they suffer?
Persuadee: They need the best shot and thats up to us to give.
Persuader: Exactly!!!.
Persuader: I hope more people think like you and me
Persuadee: If that was the case, than we might not be in this problem.
Persuadee: But we can always try.
Persuader: We should start increasin our contribution to Save the children program and make consciousness for other people to join as well
Persuadee: I agree.
Persuadee: What do you have in mind?
Persuader: tell to family and friends is a first step
Persuadee: And share on social media could be the next step?",Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Emotional,Yes,Yes,Yes,Concrete,Yes,Yes,No,Yes,Yes
20180826-053845_531_live,"Persuader: Save the Children is an amazing charity that helps kids who are in desperate need.
Persuader: They can help with safety, education and more.
Persuader: You can donate some of your earnings to this amazing charity.
Persuadee: I believe in this charity, but still wonder how much of the money I donate actually helps.
Persuader: Every little bit makes a difference.
Persuader: When you have people who are so poor, it's amazing what a tiny amount can do.
Persuadee: I would gladly give my earnings to this charity.
Persuadee: Children hold the future of the world.
Persuader: It is really so heartbreaking when you see all of these kids not having enough to eat.
Persuader: It really breaks the heart.
Persuader: They are so little.
Persuadee: I know, it always amazes me how many children are suffering around the world.
Persuadee: It is so sad.
Persuader: Even the little bit you donate from your earnings can go a long way to making a difference for a child.
Persuadee: Though MTurk they should raise quite a bit.
Persuadee: Even though it is only .30 for this hit, with the number of people it adds up.
Persuader: That's what happens.
Persuader: Even small amounts make such a big difference when they are added up.
Persuader: That's why it does make such a difference to even do small things.
Persuadee: In my personal life I do pay attention to all the details and the reviews of charities.
Persuadee: There are so many worthy causes that I try hard to make sure my meeker amounts go to benefit the most.
Persuader: And Save the Children is a great charity.
Persuader: They really do help so many kids and people.
Persuadee: I know they are a well established charity so should have all the resources, administration wise, to get the money where it is needed most.
Persuader: I think it's wonderful that you are doing this and are going to donate.
Persuader: It is such a great thing to do.
Persuadee: It makes me feel that even though not enough I have done a little something.
Persuader: You do what you can, and that is all that matters.
Persuader: But you should feel good about this little amount.
Persuadee: I live in a very rural area, people in my town are extremely poor and it still amazes me how they will take what little they have and take care of each other.
Persuader: It is very sweet.
Persuader: And these small things just make such a difference.
Persuadee: It is hard to watch and not reach out to help a child.
Persuadee: I do what I can in my own community and the town comes together this time of year to make sure each child has school supplies.
Persuadee: It is really sad that Save a Child exists, the world should be a safe place for children and there should be no need.
Persuader: It should be. But with people helping it can at least make a difference.
Persuader: I think everyone can do their part.
Persuadee: I agree, it has been very nice chatting with you and I hope you have a great day.
Persuader: Thank you so much.
Persuader: Can you tell me now how much you would like to donate?
Persuader: You can choose any amount to all your payment.
Persuadee: I will donate all of my payment.",Yes,No,Yes,No,No,Yes,No,No,No,Yes,Emotional,Yes,Yes,Yes,Concrete,Yes,Yes,Yes,Yes,No
20180826-054028_444_live,"Persuader: Good Morning!
Persuader: How are you today?
Persuadee: I am good.
Persuadee: It's really nice outside where I am so I am sitting outdoors.
Persuadee: How are you
Persuader: Oh, that sounds nice.
Persuader: I am well. It looks nice here today as well.
Persuader: What are your plans today?
Persuadee: I have to go to work at 11:30-6.
Persuadee: But its ok, I work every Sunday.
Persuadee: So we are supposed to chat about a children's charity.
Persuadee: What are your feelings?
Persuader: Yes, I was just reading about the charity myself.
Persuader: I was going to make a plea and ask if you would be willing to donate to Save the Children.
Persuader: It helps kids in need.
Persuader: I would hate to think a child would die with no food when I could ask people to help.
Persuader: Can you donate part of today's pay?
Persuader: Even a bit?
Persuadee: It's so sad to me that anyone should go without food in our modern world.
Persuadee: So I would definitely be willing to help.
Persuader: Yes, I agree, it is sad.
Persuader: That is great that you can help!
Persuader: How much of today's pay can you give?
Persuader: Also, please include the $ sign with your pledge.
Persuader: Thank you!
Persuadee: I think the bonus of today is 2 dollars so maybe if we both give half of it?
Persuadee: That is at least something.
Persuadee: I only wish that our Government would help the poor more than they do.
Persuadee: What do you think?
Persuader: I would love to help as well.
Persuader: Can you pledge with the $ sign in your next reply.
Persuader: Also, I agree, the gov't should do more.
Persuader: And thanks for asking me too.
Persuadee: So lets agree we both can give $1 of of bonus.
Persuader: I would say that is a wonderful idea.
Persuader: If you are willing to give then I will too!
Persuadee: Nice!!!
Persuadee: It's not a huge amount but unfortunately I have expenses and 2 kids of my own to support.
Persuadee: Do you have kids?
Persuader: Yes, I do.
Persuader: I could not imagine having to watch any child suffer, much less my own.
Persuader: Have you visited the Save the Children website?
Persuadee: I have not visited the site but I have heard of them before.
Persuadee: I am one of those people who cant watch the commercials of the suffering kids or pets.
Persuadee: It really upsets me
Persuader: I looked at the site.
Persuader: Have you heard about the recent storms/flooding in Hawaii?
Persuadee: A little bit but not much.
Persuadee: I have been following politics and things are going crazy.
Persuadee: I am hoping that things will change soon.
Persuader: Well, it looks like the STC is already to help the children there.
Persuader: I am amazed by their swift response.
Persuader: Isn't it really great!
Persuadee: That is great that they are there helping.
Persuadee: Maybe they learned something from the mess in Puerto Rico.
Persuadee: The conditions there were really bad but the US gov really dropped the ball on helping.
Persuader: Yes, I am sure that is it.
Persuader: I have to thank you again for your $1 donation.
Persuader: It will go to great use I am sure.
Persuader: Do you have any questions about the charity?
Persuadee: Not really.
Persuadee: I truly believe that most charities are so needed in these times when the governments and the corporations aren't being super charitable.
Persuadee: I do like to look and see what the overhead is of the charities to see that the CEO”s aren't being overpaid",Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,Emotional,Yes,Yes,Yes,Concrete,Yes,Yes,No,No,Yes
20180826-054232_684_live,"Persuader: Hi!
Persuader: Are you interested in making a donation to Save the Children?
Persuadee: Hi, Yes I am
Persuader: That's great to hear!
Persuader: Donations make a huge difference in the lives of these kids.
Persuader: Your help will give them access to food, healthcare, education, and safety, among other things.
Persuadee: Yes, I agree.
Persuadee: Helping children and pets is one of the donations I enjoy making and helping at the same time.
Persuader: Do you have an amount in mind that you'd like to donate?
Persuadee: I was thinking to donate around 10 cents for save the children.
Persuadee: I hope that is adequate and helps them for food and shelter.
Persuader: Any amount we can collect for them is welcome.
Persuader: Would it convince you to donate more if I can assure you that the donation is absolutely secure and will be completely given to a trustworthy, verified fund within Save the Children?
Persuadee: ok how about 20 cents.
Persuadee: I do want to help in anyway that I can.
Persuader: Thank you so much.
Persuader: It's really appreciated.
Persuader: The amount of suffering that children around the world face is terrible.
Persuader: For example, in the first two months of 2018, a thousand children in Syria were injured in the violence there.
Persuader: Anything you can add to the donation will go directly to helping them.
Persuadee: yeah I heard a little bit about on how children are suffering.
Persuadee: I want to give a donation to help them.
Persuadee: I am glad I can help in anyway that I can.
Persuader: It will make a big difference to Save the Children.
Persuader: The organization has done wonders for kids, saving them from everything from violence to starvation.
Persuader: We as people have a moral responsibility to help them, and when we have extra, there's no better place to put it than in the hands of a trustworthy charity that will use it to save kids.
Persuadee: Yes, I believe it is good to be ethical.
Persuadee: And to help children and animals as much as we can.
Persuadee: Most of all save the children is a trustworthy organization which I trust to put my donations in with.
Persuader: To confirm, you said you were willing to donate 20 cents, correct?
Persuadee: Yes that is correct
Persuader: Is there anything you'd like to ask, or any way I can convince you to send a little more to Save the Children in the interests of the kids they work to help?
Persuadee: I feel that 20 cents is adequate for the donation.
Persuadee: I want to help in any way that I can.
Persuadee: Also I want to verify that this organization is most trusting.
Persuader: Alright, 20 cents out of the whole task payment amount.
Persuader: Thank you again for the donation.
Persuader: It will be sent to Save the Children.
Persuadee: thank you.
Persuadee: I wanted to help and want to help with a donation
Persuader: It's much appreciated.
Persuadee: what hobbies do you like?
Persuadee: and where are you from?",Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Emotional,Yes,Yes,Yes,Concrete,Yes,Yes,Yes,Yes,Yes
20180826-054344_65_live,"Persuader: Would you be willing to donate your proceeds to the Save the Children organization?
Persuadee: Certainly as long as I know the donation will help the children
Persuader: This is a fine organization.
Persuader: I have done some research and the majority of the proceeds go directly into helping the children.
Persuadee: I would certainly be willing to donate then
Persuader: How much are you willing to donate?
Persuadee: I would be willing to donate $200
Persuader: That is very generous.
Persuader: Would you be willing to donate a bit more.
Persuader: Say $500?
Persuader: From what I have learned, by donating $500, another organization will match the donation with a minimum $500 donation.
Persuadee: I would certainly increase my donation if it would be matched since the majority of it is going directly to the children
Persuader: That's wonderful!
Persuader: So I can count on you for the $500 donation?
Persuadee: Yes you can count on my donation
Persuader: Thank you so much,  you have no idea how much this will help the children in need!
Persuadee: Thank you Glad I was able to help  this organization with my donation
Persuader: Do you have any friends or coworkers you might be willing to donate as well?
Persuadee: I could certainly ask some of my coworkers and tell them about the match if they donate at least $500 and tell them what a worthy cause it is.
Persuader: Or how about an office pool to raise money?
Persuadee: We really dont have a big office so I dont think an office pool would get very much in donations
Persuader: Ok, that makes sense.
Persuader: Anything you could get in donations would certainly help.
Persuader: It doesn't have to be a full $500 donation.
Persuadee: Alright I will ask my co-workers
Persuader: Thank you again for your willingness to help with this wonderful organization!
Persuadee: Glad I was in a position where I was able to help",Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Logical,Yes,Yes,Yes,Concrete,Yes,No,Yes,Yes,Yes
